kepid,koi_steff,koi_srad,ra,dec,koi_kepmag,koi_time0bk,koi_impact,koi_prad,koi_period,koi_duration,koi_disposition
5530881,6507.0,1.145,290.92267,40.777359,13.508,132.9614122,0.269,61.88,5.082523739,5.04732,FALSE POSITIVE
5535280,5955.0,0.91,292.34787,40.733101,14.851,146.1390004,0.987,49.22,74.985292949,6.23451,FALSE POSITIVE
5552808,,,296.82327,40.757229,11.969,132.6922455,,,10.95210361,1.5,CANDIDATE
5553624,5539.0,1.027,296.98712,40.77536,14.231,139.7346639,0.445,74.87,25.762056721,14.8694,FALSE POSITIVE
5564082,5992.0,0.961,299.11465,40.748619,10.715,132.53726,0.6199,0.69,2.70581614,6.56,CANDIDATE
6543682,5780.0,1.0,297.54327,41.951748,13.908,132.302869,0.327,75.54,1.195516859,6.17216,FALSE POSITIVE
6545018,5807.0,0.861,297.81381,41.963051,13.748,132.839699,0.465,45.2,1.995728294,6.43532,FALSE POSITIVE
6548447,5226.0,1.643,298.54251,41.953201,12.88,137.679347,0.001,52.8,10.768391927,12.5252,FALSE POSITIVE
6584167,6175.0,1.405,283.72507,42.027374,13.436,132.02461,0.257,0.96,0.733724504,2.208,FALSE POSITIVE
6584278,5826.0,4.189,283.77316,42.070862,13.897,132.0764,0.628,2.48,1.28940823,3.652,CANDIDATE
6590726,5618.0,0.932,286.60938,42.063229,15.477,146.1528,0.0481,2.12,498.27269,8.92,CANDIDATE
7336754,5761.0,0.932,281.49689,42.906078,13.964,133.7671874,0.825,34.62,12.155241119,6.84353,FALSE POSITIVE
7345335,5533.0,0.819,285.50293,42.911789,14.804,138.535,0.218,0.83,11.0495766,2.13,CANDIDATE
7350067,3236.0,0.193,287.5264,42.912899,15.737,135.43172,0.442,0.95,4.48559215,0.8161,CONFIRMED
7362632,6165.0,0.942,291.74191,42.958309,15.444,131.79708,0.681,0.91,0.566811926,4.181,FALSE POSITIVE
7366065,6300.0,1.057,292.80829,42.976021,14.313,131.79343,0.6755,1.13,0.566803738,1.8481,FALSE POSITIVE
8211521,5402.0,0.717,281.56042,44.184818,15.041,132.006,0.734,0.74,1.69421771,4.161,FALSE POSITIVE
8227086,5515.0,0.761,289.62292,44.104431,15.567,141.604,0.029,1.09,13.8086331,3.613,CANDIDATE
8229048,6469.0,1.056,290.2905,44.134239,13.636,131.930634,1.189,50.48,2.739477089,3.18229,FALSE POSITIVE
8234477,6327.0,1.528,292.22934,44.160789,13.775,133.9542149,0.294,52.42,4.028671454,8.12253,FALSE POSITIVE
9049010,6240.0,2.803,299.62277,45.364079,13.316,131.86316,0.689,2.89,0.687004402,3.829,FALSE POSITIVE
9083503,5222.0,0.795,289.73306,45.43795,15.908,131.6132,0.519,1.0,0.91839938,4.479,FALSE POSITIVE
9093566,7693.0,1.984,293.57108,45.413639,12.749,132.3272,0.569,0.76,0.94356284,5.721,FALSE POSITIVE
9098590,6081.0,0.801,295.18893,45.40617,14.965,133.7306188,0.381,21.11,2.243569483,4.14769,CANDIDATE
9099773,5749.0,1.48,295.55292,45.473431,14.909,141.3871,0.682,2.16,82.78482,7.52,CANDIDATE
9101208,5941.0,0.911,295.97623,45.440338,15.372,132.9689,1.137,14.47,1.81139053,8.64,FALSE POSITIVE
9943009,5927.0,1.53,287.76895,46.83194,12.66,132.1228,0.112,0.79,2.4376438,1.587,CANDIDATE
9944201,4893.0,0.625,288.49091,46.804989,15.069,131.7091421,0.831,11.04,0.721522907,1.4521,CANDIDATE
9945280,5791.0,1.472,289.09744,46.811081,13.879,131.751463,1.255,71.9,0.651731691,2.4602,FALSE POSITIVE
9958053,,,294.62296,46.826469,11.727,133.755464,,,2.73398963,1.52,FALSE POSITIVE
9963009,5911.0,1.207,296.4682,46.85178,14.458,153.018227,0.767,27.38,40.069674617,9.3564,FALSE POSITIVE
8545603,5668.0,0.868,285.1973,44.64661,15.873,140.6478,0.752,2.11,55.884827,2.283,FALSE POSITIVE
10976412,4976.0,2.638,292.2048,48.417881,12.917,134.13833,0.505,3.1,3.75938475,1.188,FALSE POSITIVE
10979716,3887.0,0.523,293.79077,48.401421,15.774,134.084445,1.012,26.43,10.6840477,3.515,FALSE POSITIVE
10982373,,,294.90292,48.477211,11.696,132.06909,,,2.00280845,1.22,FALSE POSITIVE
