time,flux,flux_err
131.5120633522456,1.0023586,0.0005021461
131.53249777646124,1.0027754,0.0005020679
131.55293210056698,1.0018085,0.0005016904
131.57336632466468,1.0032424,0.00050233654
131.5938006487704,1.0020607,0.000502358
131.6142350727605,1.0027405,0.00050237053
131.63466929686547,1.0031056,0.0005025192
131.6551036207311,1.0023867,0.0005021671
131.67553804472118,1.002354,0.0005020687
131.6959723685868,1.0036403,0.0005019629
131.71640659245895,1.0035521,0.0005019622
131.73684091621544,1.0023369,0.00050190237
131.75727534008183,1.0025003,0.00050155754
131.77770956372115,1.0022038,0.00050158554
131.79814388747764,1.0031894,0.00050143676
131.8185783111112,1.002791,0.00050126103
131.8390125347505,1.0026512,0.00050116534
131.85944685839058,1.0034169,0.0005010442
131.87988118190697,1.003032,0.00050162943
131.90031550543063,1.0023832,0.0005011206
131.92074982883787,1.0026376,0.0005013218
131.94118415223784,1.0026516,0.0005013762
131.96161847564508,1.0037822,0.000501668
131.98205279905233,1.0018959,0.00050114834
132.00248712233588,1.0027554,0.000501288
132.02292134562595,1.0026149,0.0005011713
132.04335576880112,1.0030214,0.0005012501
132.06379009196826,1.0032569,0.0005013054
132.0842243151419,1.0025074,0.00050109864
132.10465863831632,1.0035886,0.00050106127
132.1250930613678,1.002032,0.0005014387
132.14552728430863,1.0028524,0.00050137495
132.16596160736663,1.0028265,0.0005011383
132.1863960303017,1.0029588,0.0005010874
132.20683035324328,1.0031649,0.0005017541
132.22726457606768,1.0027952,0.0005012478
132.24769889889285,1.0030019,0.0005008755
132.2681333217115,1.0027198,0.0005014787
132.2885675444195,1.003044,0.00050154794
132.30900186712097,1.0019952,0.0005013927
132.32943628983048,1.0029995,0.00050178415
132.34987051242206,1.0035201,0.00050180266
132.3703048350144,1.0019455,0.0005012995
132.39073915759946,1.0022284,0.00050137023
132.41117348007538,1.0028429,0.0005018744
132.43160780254402,1.0031024,0.0005015574
132.45204212501994,1.0033368,0.0005017162
132.4724765473802,1.0024999,0.0005017968
132.49291076973896,1.0019213,0.0005015214
132.51334509197477,1.0031865,0.0005015564
132.5337793142171,1.0019476,0.0005014827
132.55421373645368,1.0014057,0.00050177996
132.57464805858035,1.002123,0.0005014603
132.59508228082268,1.002654,0.0005014726
132.6155167028337,1.0026027,0.0005021485
132.6359510249531,1.0014043,0.0005021467
132.65638534696336,1.0034155,0.00050224044
132.67681956885644,1.0031751,0.00050187885
132.69725399074377,1.0022379,0.0005018745
132.71768831263762,1.0033456,0.00050201494
132.7381225345307,1.0026848,0.0005019918
132.75855695630162,1.002304,0.0005023834
132.77899127807905,1.0025897,0.00050218747
132.7994254997393,1.0030123,0.0005020656
132.81985982139304,1.0018948,0.00050238974
132.8402942430548,1.0036919,0.0005023362
132.86072846459865,1.003197,0.000502531
132.88116278613597,1.0034095,0.0005023701
132.90159720768133,1.0032995,0.00050230796
132.92203142910876,1.0034174,0.00050223514
132.94246575052966,1.0039536,0.0005023654
132.96290007195785,1.0024035,0.0005023843
132.98333449327038,1.0033834,0.0005024618
133.0037687144577,1.0035208,0.0005024285
133.02420303576946,1.0039965,0.0005026522
133.0446373569648,1.003416,0.00050262373
133.0650716781529,1.0030403,0.00050248805
133.08550599923183,1.00271,0.00050250185
133.10594032031076,1.0015013,0.0005027002
